                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1913,                 4.7233,                 2.0536,                      0,                      0,                      0,                      0,                 1.5936,                 4.5978,                  1.792,              1.904e-05,              1.904e-05,              1.904e-05
                      2,                 1.8651,                 4.7367,                  1.778,                      0,                      0,                      0,                      0,                 1.5268,                 4.5388,                 1.6804,              4.038e-05,              4.038e-05,              4.038e-05
                      3,                 1.6204,                 4.6223,                 1.5956,                      0,                      0,                      0,                      0,                 1.5386,                 4.4706,                 1.5977,             6.1635e-05,             6.1635e-05,             6.1635e-05
                      4,                 1.5304,                 4.4715,                 1.5137,                      0,                      0,                      0,                      0,                 1.5363,                 4.4178,                  1.551,             8.2805e-05,             8.2805e-05,             8.2805e-05
                      5,                  1.561,                 4.3834,                 1.4873,                0.00765,                0.00595,                0.00662,                0.00374,                 1.5718,                 4.3592,                 1.5244,             0.00010389,             0.00010389,             0.00010389
                      6,                 1.4743,                 4.2152,                 1.4024,                0.02416,                0.03968,                  0.021,                0.01282,                 1.5818,                 4.2151,                 1.5534,             0.00012489,             0.00012489,             0.00012489
                      7,                 1.4659,                 4.0478,                 1.3929,                0.02588,                0.10629,                0.03836,                0.02566,                 1.6352,                 4.1046,                 1.5777,             0.00014581,             0.00014581,             0.00014581
                      8,                 1.4205,                 3.8599,                 1.3367,                0.01905,                0.12833,                 0.0384,                0.02313,                 1.7893,                 4.0612,                 1.6685,             0.00016664,             0.00016664,             0.00016664
                      9,                 1.4442,                 3.7595,                 1.3677,                0.01585,                0.13279,                 0.0371,                0.02212,                 1.8142,                 3.9834,                  1.675,             0.00018738,             0.00018738,             0.00018738
                     10,                 1.4022,                 3.6334,                 1.3368,                0.01683,                0.19976,                0.04311,                0.02683,                 1.7567,                 3.9257,                 1.6375,             0.00020805,             0.00020805,             0.00020805
                     11,                 1.4072,                 3.5505,                 1.3185,                0.57142,                0.06298,                0.05767,                0.03752,                  1.694,                 3.8624,                 1.5927,             0.00022862,             0.00022862,             0.00022862
                     12,                 1.3653,                  3.399,                 1.3146,                0.56751,                0.06902,                0.07248,                0.04726,                 1.7281,                 3.8147,                 1.6393,             0.00023282,             0.00023282,             0.00023282
                     13,                 1.3517,                 3.2536,                 1.3179,                0.39093,                0.08255,                0.07002,                0.04171,                 1.7858,                 3.7564,                 1.6822,             0.00023235,             0.00023235,             0.00023235
                     14,                 1.3924,                 3.1696,                  1.315,                0.69942,                0.05456,                0.07608,                0.04482,                 1.7823,                 3.5758,                 1.6648,             0.00023187,             0.00023187,             0.00023187
                     15,                 1.3641,                  3.086,                 1.3037,                0.53246,                0.08929,                0.08183,                0.05078,                 1.7732,                 3.4395,                  1.639,              0.0002314,              0.0002314,              0.0002314
                     16,                  1.333,                 3.0183,                 1.3062,                0.44958,                0.10615,                0.09188,                0.05707,                 1.8682,                   3.44,                  1.701,             0.00023093,             0.00023093,             0.00023093
                     17,                 1.3478,                 2.8825,                 1.2949,                0.56953,                 0.0997,                0.09144,                0.06006,                 1.8024,                 3.3448,                 1.6721,             0.00023046,             0.00023046,             0.00023046
                     18,                 1.3268,                 2.8531,                 1.3107,                0.58623,                0.09043,                0.09508,                0.06592,                 1.6568,                  3.214,                 1.5849,             0.00022999,             0.00022999,             0.00022999
                     19,                 1.3287,                 2.8168,                  1.297,                0.43992,                0.14131,                0.10229,                0.07003,                 1.6571,                 3.1873,                 1.5904,             0.00022952,             0.00022952,             0.00022952
                     20,                 1.2903,                 2.6954,                 1.2798,                0.40541,                 0.1552,                0.11652,                0.07883,                  1.667,                 3.0324,                 1.6269,             0.00022905,             0.00022905,             0.00022905
                     21,                 1.2924,                  2.612,                 1.2514,                0.65221,                0.11174,                0.10694,                0.07433,                 1.5667,                 3.0164,                 1.5771,             0.00022858,             0.00022858,             0.00022858
                     22,                 1.2299,                  2.516,                 1.2428,                0.47236,                0.11824,                0.11335,                0.07733,                 1.5535,                 2.9718,                  1.569,              0.0002281,              0.0002281,              0.0002281
                     23,                  1.261,                 2.5761,                  1.266,                0.45095,                0.17273,                0.11697,                0.07964,                 1.6047,                 2.9696,                 1.6114,             0.00022763,             0.00022763,             0.00022763
                     24,                 1.2391,                 2.5336,                 1.2713,                0.39028,                0.16485,                 0.1316,                0.07883,                 1.7287,                 2.9285,                 1.6662,             0.00022716,             0.00022716,             0.00022716
                     25,                 1.2327,                 2.4328,                 1.2432,                0.44665,                0.19817,                0.15018,                0.09984,                 1.5522,                 2.8448,                 1.5844,             0.00022669,             0.00022669,             0.00022669
                     26,                  1.242,                 2.4232,                 1.2789,                0.53897,                0.15138,                0.16783,                0.11446,                 1.5624,                 2.8366,                 1.6237,             0.00022622,             0.00022622,             0.00022622
                     27,                 1.2297,                 2.3336,                 1.2584,                 0.6016,                0.16493,                0.17048,                0.10756,                 1.7084,                 2.8657,                 1.7459,             0.00022575,             0.00022575,             0.00022575
                     28,                 1.2237,                 2.3427,                 1.2666,                 0.5457,                0.20085,                0.17325,                0.11522,                 1.6218,                 2.7826,                 1.6731,             0.00022528,             0.00022528,             0.00022528
                     29,                  1.224,                 2.2656,                 1.2537,                 0.5745,                0.19764,                0.17726,                0.11994,                 1.5291,                  2.775,                 1.6149,             0.00022481,             0.00022481,             0.00022481
                     30,                 1.2341,                 2.2949,                  1.285,                0.53584,                0.19274,                0.19212,                0.13283,                 1.5857,                 2.7708,                 1.6593,             0.00022433,             0.00022433,             0.00022433
                     31,                 1.1975,                 2.2138,                 1.2374,                0.54975,                0.19586,                0.20222,                0.12592,                 1.6403,                 2.8044,                 1.6832,             0.00022386,             0.00022386,             0.00022386
                     32,                 1.1705,                  2.201,                 1.2333,                0.64741,                0.18389,                 0.1911,                0.13246,                 1.5158,                 2.7718,                 1.6125,             0.00022339,             0.00022339,             0.00022339
                     33,                 1.1734,                 2.0976,                 1.2222,                0.71724,                0.17348,                0.21302,                0.15077,                 1.4523,                 2.7364,                 1.5717,             0.00022292,             0.00022292,             0.00022292
                     34,                 1.1448,                 2.0754,                 1.2078,                 0.6933,                 0.1918,                 0.2225,                0.15719,                 1.4703,                 2.6713,                 1.5966,             0.00022245,             0.00022245,             0.00022245
                     35,                 1.1488,                 2.0378,                 1.2045,                0.67111,                0.20157,                0.23441,                0.15831,                 1.5867,                 2.6374,                 1.6756,             0.00022198,             0.00022198,             0.00022198
                     36,                  1.156,                  2.019,                 1.2142,                0.65653,                0.22223,                0.23939,                0.16399,                 1.5349,                   2.65,                 1.6249,             0.00022151,             0.00022151,             0.00022151
                     37,                 1.1481,                 1.9817,                 1.2012,                0.58348,                 0.2159,                0.24016,                0.16633,                 1.5522,                 2.7145,                 1.6483,             0.00022104,             0.00022104,             0.00022104
                     38,                 1.1475,                 2.0038,                 1.2336,                0.72188,                0.20252,                0.23578,                0.16128,                 1.5686,                 2.6757,                 1.6748,             0.00022056,             0.00022056,             0.00022056
                     39,                 1.1346,                 1.9252,                 1.2245,                0.62027,                0.21024,                0.24127,                0.16095,                 1.6091,                  2.618,                  1.701,             0.00022009,             0.00022009,             0.00022009
                     40,                 1.1369,                 1.9457,                 1.2279,                0.76456,                0.18108,                0.24119,                0.17129,                 1.5526,                 2.5612,                 1.6332,             0.00021962,             0.00021962,             0.00021962
                     41,                 1.0858,                 1.8503,                 1.1987,                0.76539,                0.18345,                0.23748,                0.17268,                 1.5029,                  2.568,                 1.5938,             0.00021915,             0.00021915,             0.00021915
                     42,                 1.0816,                 1.8661,                 1.1891,                0.68365,                0.20018,                0.24021,                0.16916,                 1.5075,                 2.5927,                 1.5839,             0.00021868,             0.00021868,             0.00021868
