                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6945,                 4.6675,                 2.3676,                0.00069,                    0.1,                0.00119,                0.00023,                  1.732,                  5.995,                 2.0671,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                  2.212,                 4.4866,                 2.0713,                0.00124,                  0.225,                0.00523,                0.00354,                 1.7172,                 5.4077,                  2.083,             3.5644e-05,             3.5644e-05,             3.5644e-05
                      3,                 2.4295,                 4.0263,                 2.3036,                0.34977,                  0.125,                0.09345,                0.07137,                 1.7829,                 5.2525,                 2.0781,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      4,                 2.0808,                 3.2168,                 1.9423,                0.90833,                  0.125,                0.14308,                 0.1094,                 1.6698,                 5.3141,                 1.8826,             7.4506e-05,             7.4506e-05,             7.4506e-05
                      5,                 1.9603,                 2.9637,                 1.9325,                0.88961,                 0.1875,                0.19055,                0.12908,                  1.688,                 5.5422,                 1.8183,             9.0225e-05,             9.0225e-05,             9.0225e-05
                      6,                 1.9921,                 2.9389,                  1.916,                0.13444,                0.30905,                0.20698,                0.13232,                 1.5983,                   5.23,                 1.6883,             0.00010347,             0.00010347,             0.00010347
                      7,                 1.8554,                 2.7682,                 1.7145,                0.27731,                 0.4375,                0.24645,                0.16931,                 1.5445,                 4.4398,                 1.6037,             0.00011424,             0.00011424,             0.00011424
                      8,                 1.7916,                 2.4665,                 1.6527,                0.31559,                0.54122,                0.38418,                0.24859,                 1.5086,                 4.0496,                 1.5918,             0.00012253,             0.00012253,             0.00012253
                      9,                   1.91,                 2.4845,                 1.7259,                0.51391,                    0.5,                0.34693,                0.24617,                 1.5771,                 3.9425,                 1.6613,             0.00012835,             0.00012835,             0.00012835
                     10,                 1.5627,                 1.9269,                 1.5167,                0.63419,                0.27048,                0.32479,                 0.2186,                 1.5654,                 3.8994,                 1.7097,             0.00013169,             0.00013169,             0.00013169
                     11,                 1.6479,                 2.2113,                 1.6334,                0.67675,                   0.25,                 0.3133,                0.21222,                 1.5607,                 3.6978,                 1.7294,             0.00013256,             0.00013256,             0.00013256
                     12,                 1.4439,                 2.2665,                  1.542,                0.70675,                0.24891,                0.29851,                0.19992,                  1.556,                 3.4597,                 1.7567,             0.00013096,             0.00013096,             0.00013096
                     13,                 1.4982,                 1.9888,                  1.453,                0.56662,                0.28654,                0.27517,                0.19325,                  1.571,                 3.3691,                 1.7744,             0.00012688,             0.00012688,             0.00012688
                     14,                 1.4463,                 1.9704,                 1.5275,                0.61929,                0.23121,                 0.2744,                0.19868,                 1.6176,                 3.5238,                 1.8068,             0.00012032,             0.00012032,             0.00012032
                     15,                 1.4421,                 1.8675,                 1.4577,                0.68907,                 0.1875,                0.27979,                0.19733,                  1.587,                 3.6303,                 1.7829,             0.00011129,             0.00011129,             0.00011129
                     16,                 1.3409,                 1.8186,                  1.434,                0.64857,                0.29223,                0.31216,                0.22906,                 1.5949,                 3.7835,                 1.7706,             9.9781e-05,             9.9781e-05,             9.9781e-05
                     17,                 1.5564,                 1.7325,                 1.4911,                0.64709,                0.27638,                 0.3124,                0.22982,                 1.6306,                 3.8433,                 1.7661,               8.58e-05,               8.58e-05,               8.58e-05
                     18,                   1.45,                 1.7589,                 1.4613,                0.37512,                0.27636,                0.32257,                0.23618,                 1.6294,                 3.7898,                  1.765,             6.9344e-05,             6.9344e-05,             6.9344e-05
                     19,                 1.2957,                 1.6377,                 1.3976,                0.34087,                0.30809,                0.32179,                0.23529,                 1.6217,                 3.6577,                 1.7507,             5.0412e-05,             5.0412e-05,             5.0412e-05
                     20,                 1.2876,                 1.6278,                 1.4284,                 0.3987,                0.22013,                0.32456,                 0.2357,                 1.6261,                 3.5799,                 1.7377,             2.9006e-05,             2.9006e-05,             2.9006e-05
